prefLabel,altLabels,displayName,uri,confidence
Phaeozems,,Phaeozems,http://aims.fao.org/aos/agrovoc/c_5755,N/A
Planosols,,Planosols,http://aims.fao.org/aos/agrovoc/c_5953,N/A
Plinthosols,,Plinthosols,http://aims.fao.org/aos/agrovoc/c_309e7c25,N/A
Podzols,,Podzols,http://aims.fao.org/aos/agrovoc/c_6044,N/A
Regosols,,Regosols,http://aims.fao.org/aos/agrovoc/c_6492,N/A
Dolichodoridae,,Dolichodoridae,http://aims.fao.org/aos/agrovoc/c_31021,N/A
Dorylaimidae,,Dorylaimidae,http://aims.fao.org/aos/agrovoc/c_27189,N/A
Heteroderidae,,Heteroderidae,http://aims.fao.org/aos/agrovoc/c_31038,N/A
Heterorhabditidae,,Heterorhabditidae,http://aims.fao.org/aos/agrovoc/c_31049,N/A
Hoplolaimidae,,Hoplolaimidae,http://aims.fao.org/aos/agrovoc/c_24759,N/A
Longidoridae,,Longidoridae,http://aims.fao.org/aos/agrovoc/c_31060,N/A
Meloidogynidae,,Meloidogynidae,http://aims.fao.org/aos/agrovoc/c_31066,N/A
Mermithidae,,Mermithidae,http://aims.fao.org/aos/agrovoc/c_31075,N/A
Panagrolaimidae,,Panagrolaimidae,http://aims.fao.org/aos/agrovoc/c_35419,N/A
Paratylenchidae,,Paratylenchidae,http://aims.fao.org/aos/agrovoc/c_31104,N/A
Pratylenchidae,,Pratylenchidae,http://aims.fao.org/aos/agrovoc/c_31106,N/A
Rhabditidae,,Rhabditidae,http://aims.fao.org/aos/agrovoc/c_31115,N/A
Steinernematidae,,Steinernematidae,http://aims.fao.org/aos/agrovoc/c_31121,N/A
windbreak trees,,windbreak trees,http://aims.fao.org/aos/agrovoc/c_8397,N/A
hilling,earthing up,hilling (earthing up),http://aims.fao.org/aos/agrovoc/c_3616,N/A
ridgers,,ridgers,http://aims.fao.org/aos/agrovoc/c_25884,N/A
phytoremediation,phytoextraction,phytoremediation (phytoextraction),http://aims.fao.org/aos/agrovoc/c_36976,N/A
Anguinidae,,Anguinidae,http://aims.fao.org/aos/agrovoc/c_30982,N/A
Aphelenchidae,,Aphelenchidae,http://aims.fao.org/aos/agrovoc/c_30989,N/A
Aphelenchoididae,,Aphelenchoididae,http://aims.fao.org/aos/agrovoc/c_30992,N/A
Belonolaimidae,,Belonolaimidae,http://aims.fao.org/aos/agrovoc/c_31007,N/A
Criconematidae,,Criconematidae,http://aims.fao.org/aos/agrovoc/c_31011,N/A
nematophagous fungi,,nematophagous fungi,http://aims.fao.org/aos/agrovoc/c_25207,N/A
siderophores,,siderophores,http://aims.fao.org/aos/agrovoc/c_33547,N/A
chicken manure,,chicken manure,http://aims.fao.org/aos/agrovoc/c_d0308c10,N/A
turkey manure,,turkey manure,http://aims.fao.org/aos/agrovoc/c_e64f46d9,N/A
igneous rocks,,igneous rocks,http://aims.fao.org/aos/agrovoc/c_4264f3ca,N/A
essential plant nutrients,,essential plant nutrients,http://aims.fao.org/aos/agrovoc/c_330766,N/A
potassium,K (symbol),potassium (K (symbol)),http://aims.fao.org/aos/agrovoc/c_6139,N/A
calcium,Ca (symbol),calcium (Ca (symbol)),http://aims.fao.org/aos/agrovoc/c_1196,N/A
alfalfa straw,lucerne straw,alfalfa straw (lucerne straw),http://aims.fao.org/aos/agrovoc/c_4755d729,N/A
barley straw,,barley straw,http://aims.fao.org/aos/agrovoc/c_15941,N/A
maize straw,,maize straw,http://aims.fao.org/aos/agrovoc/c_a40b4471,N/A
oat straw,,oat straw,http://aims.fao.org/aos/agrovoc/c_34065,N/A
rice straw,,rice straw,http://aims.fao.org/aos/agrovoc/c_16032,N/A
Trichodoridae,,Trichodoridae,http://aims.fao.org/aos/agrovoc/c_31136,N/A
Tylenchida,,Tylenchida,http://aims.fao.org/aos/agrovoc/c_15056,N/A
Tylenchidae,,Tylenchidae,http://aims.fao.org/aos/agrovoc/c_31147,N/A
Tylenchulidae,,Tylenchulidae,http://aims.fao.org/aos/agrovoc/c_31149,N/A
entomophilic nematodes,insect nematodes; entomopathogenic nematodes,"entomophilic nematodes (insect nematodes, entomopathogenic nematodes)",http://aims.fao.org/aos/agrovoc/c_24862,N/A
nematicides,nematocides,nematicides (nematocides),http://aims.fao.org/aos/agrovoc/c_5109,N/A
plant nematodes,phytonematodes; plant parasitic nematodes,"plant nematodes (phytonematodes, plant parasitic nematodes)",http://aims.fao.org/aos/agrovoc/c_5972,N/A
entomogenous fungi,entomophagous fungi; entomopathogenic fungi,"entomogenous fungi (entomophagous fungi, entomopathogenic fungi)",http://aims.fao.org/aos/agrovoc/c_2587,N/A
heavy metals,,heavy metals,http://aims.fao.org/aos/agrovoc/c_2223,N/A
iron compounds,ferric compounds; ferrous compounds,"iron compounds (ferric compounds, ferrous compounds)",http://aims.fao.org/aos/agrovoc/c_82528460,N/A
manganese compounds,,manganese compounds,http://aims.fao.org/aos/agrovoc/c_02c2e9aa,N/A
nutrient deficiencies,,nutrient deficiencies,http://aims.fao.org/aos/agrovoc/c_34868,N/A
sodium molybdate,,sodium molybdate,http://aims.fao.org/aos/agrovoc/c_7147,N/A
arsenic,As (symbol),arsenic (As (symbol)),http://aims.fao.org/aos/agrovoc/c_629,N/A
lead,Pb (symbol),lead (Pb (symbol)),http://aims.fao.org/aos/agrovoc/c_4235,N/A
ammonium chloride,,ammonium chloride,http://aims.fao.org/aos/agrovoc/c_350,N/A
ammonium nitrate,,ammonium nitrate,http://aims.fao.org/aos/agrovoc/c_352,N/A
ammonium nitrogen,NH4-N,ammonium nitrogen (NH4-N),http://aims.fao.org/aos/agrovoc/c_37457,N/A
ammonium phosphate,,ammonium phosphate,http://aims.fao.org/aos/agrovoc/c_353,N/A
catch cropping,,catch cropping,http://aims.fao.org/aos/agrovoc/c_1385,N/A
summer catch crops,,summer catch crops,http://aims.fao.org/aos/agrovoc/c_ba2fe879,N/A
winter catch crops,,winter catch crops,http://aims.fao.org/aos/agrovoc/c_106fa584,N/A
lava,,lava,http://aims.fao.org/aos/agrovoc/c_3df1cb51,N/A
tuff,,tuff,http://aims.fao.org/aos/agrovoc/c_34356,N/A
spodosols,,spodosols,http://aims.fao.org/aos/agrovoc/c_36874,N/A
Tylenchorhynchus,,Tylenchorhynchus,http://aims.fao.org/aos/agrovoc/c_31022,N/A
Cactodera,,Cactodera,http://aims.fao.org/aos/agrovoc/c_33315,N/A
Globodera,,Globodera,http://aims.fao.org/aos/agrovoc/c_15803,N/A
Heterodera,,Heterodera,http://aims.fao.org/aos/agrovoc/c_3580,N/A
Heterorhabditis,,Heterorhabditis,http://aims.fao.org/aos/agrovoc/c_31050,N/A
Helicotylenchus,,Helicotylenchus,http://aims.fao.org/aos/agrovoc/c_31052,N/A
Hoplolaimus,,Hoplolaimus,http://aims.fao.org/aos/agrovoc/c_26526,N/A
Rotylenchulus,,Rotylenchulus,http://aims.fao.org/aos/agrovoc/c_6669,N/A
Rotylenchus,,Rotylenchus,http://aims.fao.org/aos/agrovoc/c_31059,N/A
Scutellonema,,Scutellonema,http://aims.fao.org/aos/agrovoc/c_32242,N/A
Vesicular arbuscular mycorrhizae,VAM (fungi),Vesicular arbuscular mycorrhizae (VAM (fungi)),http://aims.fao.org/aos/agrovoc/c_24415,N/A
anion exchange capacity,,anion exchange capacity,http://aims.fao.org/aos/agrovoc/c_24966,N/A
cation exchange capacity,,cation exchange capacity,http://aims.fao.org/aos/agrovoc/c_24981,N/A
carbon mineralization,,carbon mineralization,http://aims.fao.org/aos/agrovoc/c_36244,N/A
Saccharopolyspora,,Saccharopolyspora,http://aims.fao.org/aos/agrovoc/c_aad83631,N/A
Rhodococcus fascians,Corynebacterium fascians,Rhodococcus fascians (Corynebacterium fascians),http://aims.fao.org/aos/agrovoc/c_34499,N/A
Streptomyces griseus,,Streptomyces griseus,http://aims.fao.org/aos/agrovoc/c_27615,N/A
Streptomyces scabies,,Streptomyces scabies,http://aims.fao.org/aos/agrovoc/c_35455,N/A
Azomonas,,Azomonas,http://aims.fao.org/aos/agrovoc/c_9027,N/A
Agrobacterium,,Agrobacterium,http://aims.fao.org/aos/agrovoc/c_206,N/A
crown gall of grapevine,grapevine crown gall,crown gall of grapevine (grapevine crown gall),http://aims.fao.org/aos/agrovoc/c_35757e6d,N/A
